name,lat,long,title,description
Govindghat,27.4402643,77.7131976,Govindghat,ta ta ta
Badi Bhitar Baithak,27.4367551,77.721315,Badi Bhitar Baithak,ba bababa
Shayya Mandir,27.4367551,77.721315,,
Bansivat,27.5861957,77.7012563,,
Vishramghat,27.5043082,77.6848244,,
Madhuvan,27.461028,77.6458096,,
Kumodvan,27.4986057,77.6262344,,
Bahulavan,27.5363703,77.598623,,
Radhakrishna Kund,27.525451,77.4920597,,
Mansiganga,27.4983071,77.4640286,,
Parasoli,27.4784009,77.4679575,,
Anyor,27.4682806,77.4389534,,
Govindkund,27.4685485,77.4403331,,
Sundershila,27.4746716,77.4392222,,
Govardhan hill,27.473740,77.443843,,
Kamvan,27.6627627,77.2579813,,
Ghewarvan,27.6470532,77.3670194,,
Sanketvan,27.6468931,77.3674822,,
Nandgam,27.7110986,77.3833132,,
Kokilavan,27.7488828,77.3923169,,
Bhandirvan,27.6908423,77.7091363,,
Mansarovar (Makhan),27.6294361,77.7108005,,
Sukar kshetra (Soramji/Sauroji),27.8826428,78.7387769,,
Chitrakut,25.1793371,80.8647833,,
Ayodhya,26.7898124,82.1816582,,
Naimisharanya,27.3447887,80.4842685,,
Kashi-1,25.3070813,83.0013688,,
Kashi-2,25.297326,83.0067817,,
Harihar Kshetra (Sonpur) Baithakji Hajipur,25.6812089,85.2028975,,
Janakpur,28.6156586,79.0722803,,
Gangasagar Sangam,21.6384753,88.0668253,,
Champaranya,21.0318612,81.92318,,
Champaranya Chattighar,21.0326761,81.9198024,,
Jagannathpuri,19.8071851,85.8212592,,
Pandharpur,17.6765027,75.328281,,
Nasik,20.0005756,73.7841736,,
Pannakala Nrisimha,16.4370458,80.5692624,,
Tirupati Lakshman Balaji,13.6287158,79.4170302,,
Shrirangji,10.8547955,78.6971582,,
Vishnukanchi,12.8173941,79.7125798,,
Setubandh,9.2857909,79.3040497,,
Malayachal Parvat,11.4102,76.695,,
Lohgadh,15.549247,74.0233613,,
Tamraparni River,10.8160054,78.6189869,,
Krishna River,17.0542249,76.9920731,,
Pampa Sarovar,15.3539204,76.477095,,
Padmanabh,8.4827832,76.9414019,,
Janardan Kshetra,8.7352447,76.7125407,,
Vidyanagar,15.3343429,76.459547,,
Totadri,8.500155,77.6426009,,
Darvasen,9.3639,78.8395,,
Surat,21.2234606,72.8492433,,
Bharuch,21.699705,72.9876113,,
Morbi,22.8166199,70.8433283,,
Jamnagar,22.4584942,70.0932983,,
Jamkhambhaliya,22.341486,69.7427192,,
Pindtarak,22.2530392,69.2468922,,
Mul Gomti,22.2375312,68.9707322,,
"Harikund, Dwarka",22.2370758,68.9674102,,
Gopi Talav,22.369844,69.1064658,,
Bet Shankhoddhar,22.4549673,69.1016798,,
Narayan Sarovar,23.677255,68.5410887,,
Junagadh,21.5255011,70.4864712,,
Prabhas (Somnath),20.8874624,70.4133671,,
Madhavpur,21.2566044,69.959072,,
Gupta Prayag (Junagadh),20.7832205,71.019781,,
Tagadi,22.296772,71.9441323,,
Naroda,23.0723953,72.6496035,,
Godhra,22.7708315,73.6075422,,
Kheralu,23.8853129,72.6162293,,
Siddhpur,23.9108773,72.3639957,,
Avantikapuri (Ujjain),23.2113032,75.7800758,,
Pushkar,26.485931,74.5504227,,
Kurukshetra,29.9797026,76.8307196,,
Haridwar,29.951791,78.1642474,,
Badrikashram,30.744738,79.4894206,,
Kedarnath,30.7352821,79.0654064,,
Vyas Ashram,30.7352821,79.0654064,,
Himachal Parvat,32.4122,75.9797,,
Vyas Ganga,29.90632,78.67389,,
Arail (Prayag)/Adel,25.4024741,81.8859162,,
Charnat,25.1121481,82.8778328,,
